catDiff,Lab 1,Lab 2, Variant Count
Uncertain significance - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Blueprint Genetics, 1
Likely pathogenic - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 3
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Biesecker Laboratory - ClinSeq Project  NHGRI, 11
Likely benign - Likely pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 1
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,ClinVar Staff  National Center for Biotechnology Information (NCBI), 1
Uncertain significance - Likely pathogenic,Genetic Services Laboratory  University of Chicago,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 2
Uncertain significance - Likely benign,Genetic Services Laboratory  University of Chicago,OMIM, 1
Likely benign - Uncertain significance,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 7
Pathogenic - Likely pathogenic,University of British Columbia,OMIM, 2
Pathogenic - Likely pathogenic,Counsyl,Huiwen Shanghain Institute for Pediatric Research, 1
Pathogenic - Uncertain significance,Emory Genetics Laboratory,Unidad de Diagnostico y Tratamiento de Errores Congenitos del Metabolismo. Hospital Clínico Universitário de Santiago de Compostela, 1
Likely benign - Benign,Emory Genetics Laboratory,Blueprint Genetics, 1
Likely pathogenic - Pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,Division of Human Genetics Children's Hospital of Philadelphia, 1
Uncertain significance - Likely pathogenic,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 1
Uncertain significance - Benign,Genetic Services Laboratory  University of Chicago,Emory Genetics Laboratory, 2
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 2
Pathogenic - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,GenMed Metabolism Lab, 2
Uncertain significance - Pathogenic,Emory Genetics Laboratory,GenMed Metabolism Lab, 1
Likely benign - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneReviews, 1
Benign - Uncertain significance,GeneReviews,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Pathogenic,Inserm U 954  Faculté de Médecine de Nancy,GeneDx, 1
Likely benign - Uncertain significance,PALB2 database,Ambry Genetics, 3
Likely benign - Uncertain significance,PALB2 database,Invitae, 2
Likely benign - Uncertain significance,PALB2 database,GeneDx, 3
Uncertain significance - Benign,Invitae,PALB2 database, 1
Uncertain significance - Benign,GeneDx,PALB2 database, 3
Uncertain significance - Benign,Ambry Genetics,PALB2 database, 2
Uncertain significance - Benign,Pathway Genomics,PALB2 database, 1
Benign - Likely benign,PALB2 database,Ambry Genetics, 2
Likely benign - Benign,GeneDx,PALB2 database, 12
Uncertain significance - Likely benign,Ambry Genetics,PALB2 database, 2
Likely benign - Benign,Ambry Genetics,PALB2 database, 3
Likely pathogenic - Uncertain significance,Ambry Genetics,PALB2 database, 2
Uncertain significance - Likely benign,Invitae,PALB2 database, 2
Likely benign - Benign,Invitae,PALB2 database, 1
Likely benign - Benign,Pathway Genomics,PALB2 database, 2
Benign - Likely benign,PALB2 database,GeneDx, 1
Uncertain significance - Pathogenic,PALB2 database,Pathway Genomics, 1
Uncertain significance - Pathogenic,PALB2 database,Emory Genetics Laboratory, 1
Uncertain significance - Pathogenic,PALB2 database,GeneDx, 1
Uncertain significance - Pathogenic,PALB2 database,Ambry Genetics, 1
Uncertain significance - Pathogenic,PALB2 database,Invitae, 1
Likely pathogenic - Pathogenic,PALB2 database,GeneDx, 1
Pathogenic - Likely pathogenic,Invitae,PALB2 database, 1
Likely pathogenic - Uncertain significance,GeneDx,PALB2 database, 1
Likely pathogenic - Uncertain significance,Invitae,PALB2 database, 1
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Counsyl, 5
Pathogenic - Likely pathogenic,Emory Genetics Laboratory,Invitae, 1
Likely benign - Benign,Emory Genetics Laboratory,Counsyl, 1
Uncertain significance - Likely benign,Counsyl,Emory Genetics Laboratory, 2
Uncertain significance - Benign,Blueprint Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 2
Pathogenic - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 1
Likely benign - Uncertain significance,LabCorp,CSER_CC_NCGL; University of Washington Medical Center, 1
Uncertain significance - Pathogenic,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,GeneDx, 1
Uncertain significance - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,InSiGHT, 2
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,InSiGHT, 2
Uncertain significance - Likely pathogenic,InSiGHT,Pathway Genomics, 1
Uncertain significance - Pathogenic,InSiGHT,GeneDx, 2
Pathogenic - Likely pathogenic,Pathway Genomics,InSiGHT, 1
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Invitae, 1
Benign - Pathogenic,GeneReviews,Department of Neurology  University Hospital of Strasbourg, 1
Benign - Uncertain significance,GeneReviews,Emory Genetics Laboratory, 1
Likely benign - Pathogenic,Emory Genetics Laboratory,GeneDx, 1
Likely pathogenic - Likely benign,GeneDx,Mendelics, 1
Uncertain significance - Pathogenic,Richard Lifton Laboratory  Yale University School of Medicine,Institute of Human Genetics  Helmholtz Zentrum München, German Research Center for Environmental Health, 1
Uncertain significance - Pathogenic,Richard Lifton Laboratory  Yale University School of Medicine,OMIM, 1
Benign - Likely benign,GeneDx,Department of Ophthalmology and Visual Sciences Kyoto University, 1
Uncertain significance - Pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,Ambry Genetics, 1
Benign - Likely benign,GeneDx,ARUP Laboratories University of Utah  Department of Pathology, 1
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,ARUP Laboratories University of Utah  Department of Pathology, 1
Pathogenic - Likely pathogenic,Greenwood Genetic Center Diagnostic Laboratories Greenwood Genetic Center,GeneDx, 1
Likely benign - Benign,ARUP Laboratories University of Utah  Department of Pathology,LabCorp, 1
Likely benign - Benign,Greenwood Genetic Center Diagnostic Laboratories Greenwood Genetic Center,LabCorp, 1
Likely benign - Benign,Baylor Miraca Genetics Laboratories,LabCorp, 1
Likely pathogenic - Uncertain significance,Greenwood Genetic Center Diagnostic Laboratories Greenwood Genetic Center,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Benign,ARUP Laboratories University of Utah  Department of Pathology,Emory Genetics Laboratory, 1
Uncertain significance - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 1
Benign - Pathogenic,Emory Genetics Laboratory,GeneReviews, 1
Uncertain significance - Likely pathogenic,Greenwood Genetic Center Diagnostic Laboratories Greenwood Genetic Center,GeneDx, 1
Likely benign - Benign,Baylor Miraca Genetics Laboratories,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Pathogenic - Likely pathogenic,Genomic Research Center  Shahid Beheshti University of Medical Sciences,OMIM, 2
Benign - Uncertain significance,Emory Genetics Laboratory,ClinVar Staff  National Center for Biotechnology Information (NCBI), 2
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,LabCorp, 1
Pathogenic - Uncertain significance,ARUP,OMIM, 3
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,ARUP, 2
Uncertain significance - Likely benign,Invitae,ARUP, 2
Pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,ARUP, 1
Uncertain significance - Pathogenic,ARUP,Emory Genetics Laboratory, 2
Pathogenic - Likely benign,Invitae,ARUP, 1
Pathogenic - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,ARUP, 1
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Emory Genetics Laboratory, 2
Pathogenic - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,GeneReviews, 2
Pathogenic - Likely pathogenic,Genetic Services Laboratory  University of Chicago,GeneReviews, 1
Benign - Uncertain significance,GeneReviews,CSER_CC_NCGL; University of Washington Medical Center, 1
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Genetic Services Laboratory  University of Chicago, 2
Pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Genetic Services Laboratory  University of Chicago, 1
Pathogenic - Likely pathogenic,Emory Genetics Laboratory,GeneReviews, 2
Benign - Uncertain significance,Genetic Services Laboratory  University of Chicago,CSER_CC_NCGL; University of Washington Medical Center, 1
Pathogenic - Uncertain significance,Laboratory for Medical Science Mathematics RIKEN,GeneDx, 2
Pathogenic - Uncertain significance,Laboratory for Medical Science Mathematics RIKEN,OMIM, 1
Uncertain significance - Likely benign,Emory Genetics Laboratory,Blueprint Genetics, 1
Uncertain significance - Likely benign,GeneDx,UniProtKB/Swiss-Prot, 1
Pathogenic - Likely pathogenic,GeneDx,Center for Bioinformatics  Peking University, 2
Pathogenic - Uncertain significance,GeneDx,Center for Bioinformatics  Peking University, 1
Uncertain significance - Pathogenic,Emory Genetics Laboratory,Center for Bioinformatics  Peking University, 1
Uncertain significance - Likely benign,Agnes Ginges Centre for Molecular Cardiology Centenary Institute,Blueprint Genetics, 1
Benign - Uncertain significance,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 4
Likely benign - Benign,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 3
Likely pathogenic - Likely benign,Blueprint Genetics,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 3
Likely pathogenic - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Likely pathogenic - Likely benign,GeneDx,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 4
Uncertain significance - Likely pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Uncertain significance - Benign,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Likely pathogenic - Uncertain significance,GeneDx,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Likely pathogenic - Pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneReviews, 1
Pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Uncertain significance - Benign,Emory Genetics Laboratory,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Pathogenic - Benign,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,OMIM, 1
Likely benign - Uncertain significance,LabCorp,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Likely pathogenic - Pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,OMIM, 1
Pathogenic - Likely pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,OMIM, 1
Likely pathogenic - Pathogenic,Mendelics,GeneDx, 1
Pathogenic - Likely pathogenic,Section on Endocrinology and Genetics National Institutes of Health / The Eunice Kennedy Shriver National Institute of Child Health and Human Development,Ambry Genetics, 2
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Ambry Genetics, 1
Pathogenic - Likely pathogenic,Section on Endocrinology and Genetics National Institutes of Health / The Eunice Kennedy Shriver National Institute of Child Health and Human Development,OMIM, 1
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,OMIM, 1
Pathogenic - Uncertain significance,Division of Human Genetics Children's Hospital of Philadelphia,OMIM, 1
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 1
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Biesecker Laboratory - ClinSeq Project  NHGRI, 2
Benign - Likely benign,GeneReviews,Emory Genetics Laboratory, 2
Pathogenic - Uncertain significance,GeneDx,Genetic Testing Lab  University of Kentucky College of Medicine, 1
Pathogenic - Likely pathogenic,Baylor Miraca Genetics Laboratories,OMIM, 1
Benign - Likely benign,Genetic Services Laboratory  University of Chicago,GeneDx, 2
Benign - Likely benign,Genetic Services Laboratory  University of Chicago,Emory Genetics Laboratory, 1
Pathogenic - Likely pathogenic,Division of Human Genetics Children's Hospital of Philadelphia,GeneReviews, 1
Benign - Likely benign,ARUP,Ambry Genetics, 1
Pathogenic - Likely pathogenic,Ambry Genetics,ARUP, 1
Likely benign - Pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,OMIM, 1
Benign - Uncertain significance,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 4
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Greenwood Genetic Center Diagnostic Laboratories Greenwood Genetic Center, 1
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,ARUP Laboratories University of Utah  Department of Pathology, 1
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,ARUP Laboratories University of Utah  Department of Pathology, 1
Pathogenic - Likely pathogenic,Genome Diagnostics Laboratory University Medical Center Utrecht,GeneDx, 1
Pathogenic - Likely pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,Invitae, 1
Benign - Pathogenic,LabCorp,GeneReviews, 1
Likely pathogenic - Pathogenic,LabCorp,GeneReviews, 1
Uncertain significance - Benign,Invitae,OMIM, 1
Pathogenic - Likely pathogenic,Division of Human Genetics Children's Hospital of Philadelphia,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,GeneDx, 1
Pathogenic - Likely pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,James R. Lupski Lab Baylor College of Medicine, 1
Likely benign - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Familial Cancer Clinic Veneto Institute of Oncology, 2
Likely pathogenic - Likely benign,Ambry Genetics,Familial Cancer Clinic Veneto Institute of Oncology, 1
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM), 2
Pathogenic - Likely pathogenic,Invitae,GeneDx, 1
Likely benign - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Evolutionary and Medical Genetics Laboratory   Centre for Cellular and Molecular Biology, 1
Pathogenic - Uncertain significance,GeneDx,Evolutionary and Medical Genetics Laboratory   Centre for Cellular and Molecular Biology, 1
Uncertain significance - Pathogenic,LabCorp,GeneDx, 1
Pathogenic - Uncertain significance,Agnes Ginges Centre for Molecular Cardiology Centenary Institute,OMIM, 1
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,CSER_CC_NCGL; University of Washington Medical Center, 1
Likely benign - Uncertain significance,Ambry Genetics,Invitae, 1
Uncertain significance - Benign,Emory Genetics Laboratory,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 18
Uncertain significance - Benign,Pathway Genomics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Benign,Ambry Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Benign - Uncertain significance,OMIM,Pathway Genomics, 1
Likely pathogenic - Pathogenic,Ambry Genetics,Invitae, 1
Likely benign - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,Ambry Genetics, 1
Likely pathogenic - Pathogenic,Richard Lifton Laboratory  Yale University School of Medicine,GeneDx, 1
Likely pathogenic - Uncertain significance,Pathway Genomics,Ambry Genetics, 1
Likely pathogenic - Uncertain significance,Science for Life laboratory Medical Epidemiology and Biostatistics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Pathway Genomics, 1
Uncertain significance - Likely pathogenic,GeneDx,CSER_CC_NCGL; University of Washington Medical Center, 1
Likely pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Ambry Genetics, 1
Uncertain significance - Likely pathogenic,Science for Life laboratory Medical Epidemiology and Biostatistics,GeneDx, 1
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Genetic Services Laboratory  University of Chicago, 3
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Department of Genetics  Reproduction and Fetal Medicine.,Institute of Biomedicine of Seville (IBIS), University Hospital Virgen del Rocío/CSIC/University of Seville., 1
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Genetic Services Laboratory  University of Chicago, 1
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Ambry Genetics, 2
Likely benign - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Benign - Uncertain significance,GeneDx,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Likely benign - Benign,Génétique et pathophysiologie de maladies neurodéveloppementales et épileptogènes  Institut de génétique et de biologie moléculaire et cellulaire,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 3
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Blueprint Genetics, 2
Likely pathogenic - Likely benign,GeneDx,Blueprint Genetics, 1
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Genetic Services Laboratory  University of Chicago, 2
Likely pathogenic - Pathogenic,Genetic Services Laboratory  University of Chicago,Génétique et pathophysiologie de maladies neurodéveloppementales et épileptogènes  Institut de génétique et de biologie moléculaire et cellulaire, 1
Likely pathogenic - Pathogenic,Genetic Services Laboratory  University of Chicago,Ambry Genetics, 1
Benign - Uncertain significance,GeneDx,Baylor Miraca Genetics Laboratories, 5
Benign - Uncertain significance,Emory Genetics Laboratory,Baylor Miraca Genetics Laboratories, 4
Pathogenic - Likely pathogenic,Genetic Services Laboratory  University of Chicago,Baylor Miraca Genetics Laboratories, 1
Uncertain significance - Benign,Genetic Services Laboratory  University of Chicago,Baylor Miraca Genetics Laboratories, 1
Pathogenic - Likely pathogenic,Emory Genetics Laboratory,Baylor Miraca Genetics Laboratories, 1
Likely pathogenic - Pathogenic,Baylor Miraca Genetics Laboratories,Genetic Services Laboratory  University of Chicago, 1
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Laboratory; Baylor College of Medicine, 1
Likely benign - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 1
Likely pathogenic - Uncertain significance,Molecular Diagnostics Laboratory Seoul National University Hospital,Department of Ophthalmology and Visual Sciences Kyoto University, 1
Likely pathogenic - Pathogenic,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM),Greg Lennon SNPedia, 8
Pathogenic - Likely pathogenic,Counsyl,Greg Lennon SNPedia, 1
Likely benign - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Department of Ophthalmology and Visual Sciences Kyoto University, 1
Benign - Likely benign,Genetic Services Laboratory  University of Chicago,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Benign,Emory Genetics Laboratory,GeneReviews, 1
Benign - Likely benign,Emory Genetics Laboratory,Division of Genomic Diagnostics The Children's Hospital of Philadelphia, 1
Uncertain significance - Likely benign,Division of Genomic Diagnostics The Children's Hospital of Philadelphia,GeneDx, 1
Benign - Likely benign,GeneDx,Molecular Genetics Laboratory Children's Mercy Hospital and Clinics, 1
conflicting data from submitters - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 6, 12
conflicting data from submitters - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 1, 103
conflicting data from submitters - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 8, 6
conflicting data from submitters - Benign,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 1, 2
conflicting data from submitters - Benign,ISCA site 2,ISCA site 1, 1
conflicting data from submitters - Benign,ISCA site 8,ISCA site 1, 2
Uncertain significance - Benign,ISCA site 4,ISCA site 1, 1
conflicting data from submitters - Benign,ISCA site 4,ISCA site 1, 1
conflicting data from submitters - Pathogenic,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 1, 57
Uncertain significance - Benign,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 8, 1
Uncertain significance - Benign,ISCA site 17,ISCA site 8, 1
Uncertain significance - Benign,ISCA site 4,ISCA site 8, 1
Benign - Uncertain significance,ISCA site 4,International Standards For Cytogenomic Arrays Consortium (ISCA), 6
Likely pathogenic - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 14, 1
Likely pathogenic - conflicting data from submitters,ISCA site 1,ISCA site 14, 1
Pathogenic - conflicting data from submitters,ISCA site 1,ISCA site 8, 1
Pathogenic - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 8, 1
Pathogenic - Uncertain significance,ISCA site 1,ISCA site 8, 1
Pathogenic - Uncertain significance,ISCA site 1,ISCA site 17, 1
conflicting data from submitters - Uncertain significance,ISCA site 8,ISCA site 4, 1
conflicting data from submitters - Uncertain significance,ISCA site 17,ISCA site 4, 2
Benign - conflicting data from submitters,ISCA site 1,ISCA site 4, 2
conflicting data from submitters - Likely pathogenic,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 1, 11
conflicting data from submitters - Likely pathogenic,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 6, 1
conflicting data from submitters - Pathogenic,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 6, 1
conflicting data from submitters - Uncertain significance,ISCA site 17,ISCA site 1, 1
conflicting data from submitters - Pathogenic,ISCA site 3,ISCA site 1, 1
Uncertain significance - Pathogenic,ISCA site 1,International Standards For Cytogenomic Arrays Consortium (ISCA), 10
Uncertain significance - Pathogenic,ISCA site 4,International Standards For Cytogenomic Arrays Consortium (ISCA), 8
Uncertain significance - Pathogenic,ISCA site 6,International Standards For Cytogenomic Arrays Consortium (ISCA), 2
Uncertain significance - conflicting data from submitters,ISCA site 1,ISCA site 4, 1
Pathogenic - Uncertain significance,ISCA site 4,ISCA site 17, 1
conflicting data from submitters - Pathogenic,ISCA site 17,ISCA site 1, 2
conflicting data from submitters - Pathogenic,ISCA site 4,ISCA site 1, 8
conflicting data from submitters - Uncertain significance,ISCA site 4,ISCA site 1, 3
conflicting data from submitters - Pathogenic,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 8, 2
conflicting data from submitters - Benign,ISCA site 8,ISCA site 4, 1
conflicting data from submitters - Benign,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 4, 1
Benign - Uncertain significance,ISCA site 4,ISCA site 1, 2
Benign - Uncertain significance,ISCA site 4,ISCA site 17, 2
Pathogenic - Uncertain significance,ISCA site 1,ISCA site 4, 4
Benign - Uncertain significance,ISCA site 8,ISCA site 1, 1
conflicting data from submitters - Pathogenic,ISCA site 8,ISCA site 1, 2
conflicting data from submitters - Pathogenic,ISCA site 17,ISCA site 4, 1
Pathogenic - conflicting data from submitters,ISCA site 1,ISCA site 4, 3
Pathogenic - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 4, 5
Pathogenic - Likely pathogenic,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 4, 1
Pathogenic - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 17, 1
Pathogenic - conflicting data from submitters,ISCA site 1,ISCA site 17, 1
Likely pathogenic - Pathogenic,ISCA site 1,ISCA site 2, 1
Likely pathogenic - Pathogenic,ISCA site 1,ISCA site 8, 1
Likely pathogenic - Pathogenic,ISCA site 1,International Standards For Cytogenomic Arrays Consortium (ISCA), 1
Uncertain significance - Pathogenic,ISCA site 1,ISCA site 4, 1
conflicting data from submitters - Likely benign,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 4, 2
Benign - Uncertain significance,ISCA site 8,ISCA site 17, 1
Pathogenic - Benign,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 1, 1
Benign - Pathogenic,ISCA site 4,International Standards For Cytogenomic Arrays Consortium (ISCA), 1
Uncertain significance - Benign,ISCA site 8,ISCA site 4, 1
Benign - conflicting data from submitters,ISCA site 4,ISCA site 8, 1
Benign - Uncertain significance,ISCA site 8,International Standards For Cytogenomic Arrays Consortium (ISCA), 1
conflicting data from submitters - Likely benign,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 6, 3
Uncertain significance - Benign,ISCA site 17,ISCA site 1, 1
Uncertain significance - Likely benign,ISCA site 1,ISCA site 17, 1
Pathogenic - Uncertain significance,ISCA site 17,ISCA site 1, 1
conflicting data from submitters - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 2, 1
Likely benign - Uncertain significance,ISCA site 1,International Standards For Cytogenomic Arrays Consortium (ISCA), 2
Likely benign - Uncertain significance,ISCA site 1,ISCA site 4, 1
Likely pathogenic - Benign,ISCA site 4,ISCA site 1, 1
Likely pathogenic - Benign,ISCA site 8,ISCA site 1, 1
Likely pathogenic - Benign,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 1, 1
Benign - Uncertain significance,ISCA site 4,ISCA site 8, 1
Likely benign - Pathogenic,ISCA site 1,ISCA site 4, 1
Pathogenic - Likely benign,ISCA site 1,ISCA site 8, 1
Pathogenic - Benign,ISCA site 4,ISCA site 8, 1
Uncertain significance - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 1
Likely benign - Uncertain significance,OMIM,GeneReviews, 1
